Title,Note,URL,Tags,Comment
Crawfish House,,https://www.google.com/maps/place/Crawfish+House/data=!4m2!3m1!1s0x549043de13565cc7:0x7697d9c87e8ea0db,,
La Cabaña Seattle,,https://www.google.com/maps/place/La+Caba%C3%B1a+Seattle/data=!4m2!3m1!1s0x549016af939ddd9f:0x4fbc7cd7e5479a43,,
Ristorante Picolinos,,https://www.google.com/maps/place/Ristorante+Picolinos/data=!4m2!3m1!1s0x549015d9595a6537:0x50bccfc503c7a45e,,
Bloom Bistro & Grocery,,https://www.google.com/maps/place/Bloom+Bistro+%26+Grocery/data=!4m2!3m1!1s0x549041001c45a179:0x8bef1b80cfa0f82b,,
Cornuto Pizzeria,,https://www.google.com/maps/place/Cornuto+Pizzeria/data=!4m2!3m1!1s0x5490143b39cb738d:0xe71a6261ed1ffa78,,
Delancey,,https://www.google.com/maps/place/Delancey/data=!4m2!3m1!1s0x5490142d230de207:0x73a92b6f13b47b5,,
Rupee Bar,,https://www.google.com/maps/place/Rupee+Bar/data=!4m2!3m1!1s0x549015d06bd33d59:0x59dbc052eebb20ba,,
Kricket Club,,https://www.google.com/maps/place/Kricket+Club/data=!4m2!3m1!1s0x54901522b07b08f1:0x34a83129e64e5699,,
Thaiku,,https://www.google.com/maps/place/Thaiku/data=!4m2!3m1!1s0x5490143a01760a27:0x46d7accc01599397,,
Stevie's Famous Beacon Hill,,https://www.google.com/maps/place/Stevie's+Famous+Beacon+Hill/data=!4m2!3m1!1s0x5490410ee8151aa9:0x6a2c9450f250c0ab,,
Situ Tacos,,https://www.google.com/maps/place/Situ+Tacos/data=!4m2!3m1!1s0x549015406cc48b1b:0x5d8b3697c45dc764,,
Buddha Ruksa,,https://www.google.com/maps/place/Buddha+Ruksa/data=!4m2!3m1!1s0x5490405705907077:0x205b29dd0cbafc43,,
My Friend Derek’s,,https://www.google.com/maps/place/My+Friend+Derek%E2%80%99s/data=!4m2!3m1!1s0x549015f692839e93:0xbd49ee6b8164649,,
The Independent Pizzeria,,https://www.google.com/maps/place/The+Independent+Pizzeria/data=!4m2!3m1!1s0x549014b4237ec2c3:0x8ae26561fb3b0953,,
Sisi Kay Thai Eatery and Bar,,https://www.google.com/maps/place/Sisi+Kay+Thai+Eatery+and+Bar/data=!4m2!3m1!1s0x54901575c70cbbd1:0x138222ecfdc99ebb,,
Backyard Bagel,,https://www.google.com/maps/place/Backyard+Bagel/data=!4m2!3m1!1s0x549015b1d92a59d1:0xba1ee2577046161e,,
Hamdi,,https://www.google.com/maps/place/Hamdi/data=!4m2!3m1!1s0x549015f174e70a33:0x2b4bd09e5ec67795,,
Marmalade,,https://www.google.com/maps/place/Marmalade/data=!4m2!3m1!1s0x549015d400d3806b:0x9772861cce2e1270,,
Lucky's Pho,,https://www.google.com/maps/place/Lucky's+Pho/data=!4m2!3m1!1s0x549015072f4d0075:0x10b57a9c69d019d3,,
Dantini Pizza,,https://www.google.com/maps/place/Dantini+Pizza/data=!4m2!3m1!1s0x5490156ca55f2b89:0x9a158cb63fe9cf7d,,
Kilig,,https://www.google.com/maps/place/Kilig/data=!4m2!3m1!1s0x54906b5fb8a7981d:0x32a2aebc43c6b06b,,
Jufeng Noodle House,,https://www.google.com/maps/place/Jufeng+Noodle+House/data=!4m2!3m1!1s0x54906b6881c77163:0x67bba4168022952,,
Spinasse,,https://www.google.com/maps/place/Spinasse/data=!4m2!3m1!1s0x54906acdf6e7bdcb:0xffbe71269846c946,,
The Golden Olive,,https://www.google.com/maps/place/The+Golden+Olive/data=!4m2!3m1!1s0x5490154390bda429:0x601e2c9aaf51e63e,,
DERU,,https://www.google.com/maps/place/DERU/data=!4m2!3m1!1s0x549012eb020e29f5:0x6ba0627bd368581f,,
Ono Authentic Hawaiian Poke,,https://www.google.com/maps/place/Ono+Authentic+Hawaiian+Poke/data=!4m2!3m1!1s0x54901a62b66efaed:0xe3a4b417252fe6d0,,
