Restaurants I need to try in Seattle

Title,Note,URL,Tags,Comment
Oh Yeah Banh Mi,,https://www.google.com/maps/place/Oh+Yeah+Banh+Mi/data=!4m2!3m1!1s0x54906b003eb3d503:0x93844f0598055b8d,,
Bani Tea Sip Happiness,,https://www.google.com/maps/place/Bani+Tea+Sip+Happiness/data=!4m2!3m1!1s0x54906bd4c4162e41:0xd7cdda4c844a6884,,
CM Chicken Seattle,,https://www.google.com/maps/place/CM+Chicken+Seattle/data=!4m2!3m1!1s0x549015fbb31a5a39:0x9b824eef94cbedf1,,
Choo Tea Bellevue,,https://www.google.com/maps/place/Choo+Tea+Bellevue/data=!4m2!3m1!1s0x54906df61908043f:0x1ae6726d2d2f2e83,,
Dumpling World,,https://www.google.com/maps/place/Dumpling+World/data=!4m2!3m1!1s0x549007445078d433:0xbe40444cad27433c,,
Nom Nom Sando,,https://www.google.com/maps/place/Nom+Nom+Sando/data=!4m2!3m1!1s0x54901524d3cecc85:0x996415fe3ffe3d35,,
EL Pastorsito Taqueria,,https://www.google.com/maps/place/EL+Pastorsito+Taqueria/data=!4m2!3m1!1s0x54905b0024bbdd49:0x4eae4202de2061c9,,
Pidgin Cooperative Restaurant & Bottle Shop,,https://www.google.com/maps/place/Pidgin+Cooperative+Restaurant+%26+Bottle+Shop/data=!4m2!3m1!1s0x549015f08b83a891:0x84765cdebcd74506,,
Pie Bird Bakeshop,,https://www.google.com/maps/place/Pie+Bird+Bakeshop/data=!4m2!3m1!1s0x5490419e819718b5:0xc78b47a21fc9b348,,
A Ma Chicken Rice,,https://www.google.com/maps/place/A+Ma+Chicken+Rice/data=!4m2!3m1!1s0x54907309d1d312d1:0x258c6951bff61d30,,
Roy Southern Thai Cuisine Phinney,,https://www.google.com/maps/place/Roy+Southern+Thai+Cuisine+Phinney/data=!4m2!3m1!1s0x549015000eb8f25d:0x80be0a5ad5a3cc49,,
Curry Lab Sapporo,,https://www.google.com/maps/place/Curry+Lab+Sapporo/data=!4m2!3m1!1s0x549015ce25ba1a33:0xeb004511dec4de1a,,
Seoul Mates,,https://www.google.com/maps/place/Seoul+Mates/data=!4m2!3m1!1s0x54906b00045c5611:0xbe5460acb4ca877e,,
LE GREY TEA CO.,,https://www.google.com/maps/place/LE+GREY+TEA+CO./data=!4m2!3m1!1s0x54906bd5bb2bfea5:0x818f0ec90a95c3a3,,
BAKE CHEESE TART Gransta Marunouchi,,https://www.google.com/maps/place/BAKE+CHEESE+TART+Gransta+Marunouchi/data=!4m2!3m1!1s0x60188bf95f25e619:0x923b20132f449942,,
Tokyo Character Street,,https://www.google.com/maps/place/Tokyo+Character+Street/data=!4m2!3m1!1s0x60188bf95f25e619:0x103bd7d05407fec7,,
HAPPY CRAB,,https://www.google.com/maps/place/HAPPY+CRAB/data=!4m2!3m1!1s0x549015370f00d853:0x6f4e6ec377525b35,,
Itsukichaya - Pontocho,,https://www.google.com/maps/place/Itsukichaya+-+Pontocho/data=!4m2!3m1!1s0x6001098f32e077bd:0x4ac2868c41535040,,
Magnolia Pho,,https://www.google.com/maps/place/Magnolia+Pho/data=!4m2!3m1!1s0x54906b00619f3429:0x6cc78e63750fe01f,,
Huong Duong Restaurant,,https://www.google.com/maps/place/Huong+Duong+Restaurant/data=!4m2!3m1!1s0x549042015ae67543:0x6787e82f9215ff32,,
The Walrus and the Carpenter,,https://www.google.com/maps/place/The+Walrus+and+the+Carpenter/data=!4m2!3m1!1s0x549015b8617bf16f:0x9972ed637e066c6d,,
Bò Né House and More,,https://www.google.com/maps/place/B%C3%B2+N%C3%A9+House+and+More/data=!4m2!3m1!1s0x54906b00195e3199:0x9f23a26f4996f42c,,
Cafe Calaveras,,https://www.google.com/maps/place/Cafe+Calaveras/data=!4m2!3m1!1s0x54906b002b0d7ab9:0x700026a6170e5123,,
FORTUNA,,https://www.google.com/maps/place/FORTUNA/data=!4m2!3m1!1s0x549015437d5a43d7:0x1018e779f204b394,,
Momi Indian Kitchen,,https://www.google.com/maps/place/Momi+Indian+Kitchen/data=!4m2!3m1!1s0x5490155c5893855d:0x289244543f62e243,,
Egg Street,,https://www.google.com/maps/place/Egg+Street/data=!4m2!3m1!1s0x549015a6735c6a5f:0xffe2abda0585a519,,
Junbi Matcha - Seattle,,https://www.google.com/maps/place/Junbi+Matcha+-+Seattle/data=!4m2!3m1!1s0x54906bb29ee40b9d:0x565fe5f4aebdc02a,,
The Wayland Mill,,https://www.google.com/maps/place/The+Wayland+Mill/data=!4m2!3m1!1s0x5490154759177149:0x5dda47252012fbe6,,
La Marea Marisqueria,,https://www.google.com/maps/place/La+Marea+Marisqueria/data=!4m2!3m1!1s0x54901568c7d8d273:0x2df270410047fd30,,
Akasaka Restaurant .,,https://www.google.com/maps/place/Akasaka+Restaurant+./data=!4m2!3m1!1s0x5490577bb6d3b36d:0xc2303b3add60e424,,
